unit_number,time_in_cycles,RUL,risk_label,high_risk_flag,predicted_high_risk,predicted_risk_probability,predicted_risk_label
7,160,91,Low Risk,0,0,0.0043493056701848325,Predicted Not High Risk
21,148,57,Medium Risk,0,0,0.0043182796536777035,Predicted Not High Risk
2,49,98,Low Risk,0,0,0.004235505540208937,Predicted Not High Risk
12,217,124,Low Risk,0,0,0.004162778888880612,Predicted Not High Risk
69,54,121,Low Risk,0,0,0.004156457459418465,Predicted Not High Risk
29,171,90,Low Risk,0,0,0.0036098595905396996,Predicted Not High Risk
28,158,97,Low Risk,0,0,0.0035653723437600432,Predicted Not High Risk
88,68,115,Low Risk,0,0,0.0034228245857662555,Predicted Not High Risk
60,147,100,Low Risk,0,0,0.003075358536160372,Predicted Not High Risk
79,101,63,Medium Risk,0,0,0.002979074544415805,Predicted Not High Risk
44,54,109,Low Risk,0,0,0.0029084336218750755,Predicted Not High Risk
47,73,135,Low Risk,0,0,0.0026168312186912114,Predicted Not High Risk
50,74,79,Low Risk,0,0,0.001794384821717681,Predicted Not High Risk
51,144,114,Low Risk,0,0,0.0017315629940886173,Predicted Not High Risk
23,130,113,Low Risk,0,0,0.0011761969452160645,Predicted Not High Risk
86,110,89,Low Risk,0,0,0.001140096302801,Predicted Not High Risk
83,73,137,Low Risk,0,0,0.0009192307366976675,Predicted Not High Risk
25,48,145,Low Risk,0,0,0.0008691720188642176,Predicted Not High Risk
67,71,77,Low Risk,0,0,0.0008082088872745868,Predicted Not High Risk
75,88,113,Low Risk,0,0,0.0007568542665865751,Predicted Not High Risk
16,113,84,Low Risk,0,0,0.0007407302805315549,Predicted Not High Risk
54,121,97,Low Risk,0,0,0.0006563977091157745,Predicted Not High Risk
87,56,116,Low Risk,0,0,0.0006483351667152799,Predicted Not High Risk
78,72,107,Low Risk,0,0,0.0006127974013273729,Predicted Not High Risk
22,39,111,Low Risk,0,0,0.0005789146043576398,Predicted Not High Risk
71,68,118,Low Risk,0,0,0.0005605411516010618,Predicted Not High Risk
95,89,128,Low Risk,0,0,0.0005160976495749658,Predicted Not High Risk
1,31,112,Low Risk,0,0,0.0005004380668053483,Predicted Not High Risk
26,76,119,Low Risk,0,0,0.0005004380668053483,Predicted Not High Risk
39,37,142,Low Risk,0,0,0.0005004380668053483,Predicted Not High Risk
96,97,137,Low Risk,0,0,0.0005004380668053483,Predicted Not High Risk
99,97,117,Low Risk,0,0,0.0004982293000973425,Predicted Not High Risk
73,112,131,Low Risk,0,0,0.0004982293000973425,Predicted Not High Risk
15,76,83,Low Risk,0,0,0.0004974846939297932,Predicted Not High Risk
55,113,137,Low Risk,0,0,0.0004742153968454698,Predicted Not High Risk
65,71,128,Low Risk,0,0,0.0004667586742072807,Predicted Not High Risk
59,94,114,Low Risk,0,0,0.0004640603350589483,Predicted Not High Risk
